"","score","text","review"
"144",0,"RT @firstpost: The #RBI said the decision to discontinue the practice of #LoUs and #LettersofComfort (LoCs) for trade finance comes into fo…","neutral"
"145",0,"#RBI discontinues issuance of LoU and LoC for trade credit for imports.
Indeed a major move post #PNBScam https://t.co/HtEiL6lPSX","neutral"
"146",-3,"Why people should suffer due to inefficiency on part of govt/regulator ??
Failed to tackle goons ? Ban padmavati !… https://t.co/702vZ7gdLh","negative"
"147",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"148",-1,"RT @teekaytee: #PNBScam fallout. #RBI has discontinued Letters of Undertaking (LoUs) and Letters of Comfort (LoCs) for Trade credits.","negative"
"149",0,"RT @truIndianmum: @ippatel RBI scraps LOUs the tools that set off India's biggest banking scam
#PNBFraudCase 
#PNBFraudCase 
#PNBScam 
#Reg…","neutral"
"150",0,"In 2016, whistleblower Hari Prasad SV had written a letter to #pmoindia informing Govt about #PNBscam. The letter f… https://t.co/cGN5YBMcpa","neutral"
"151",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"152",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"153",0,"@ippatel RBI scraps LOUs the tools that set off India's biggest banking scam
#PNBFraudCase 
#PNBFraudCase 
#PNBScam… https://t.co/TdZDfFj093","neutral"
"154",-1,"RT @The_Nishit: Another horrible &amp; tyrannical order by RBI/Govt.!!
Its like punishing the whole class just because 1-2 student didn't compl…","negative"
"155",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"156",-1,"RT @teekaytee: #PNBScam fallout. #RBI has discontinued Letters of Undertaking (LoUs) and Letters of Comfort (LoCs) for Trade credits.","negative"
"157",0,"7. #PNBScam 
Any more #ModiScams that people want @republic to investigate?
Does anyone think @republic TV has the… https://t.co/9TwP7EytC5","neutral"
